
6 Espace(s) surnuméraire(s) à supprimer. [[19:21]] => ====== Ubuntu 14.10  (« The Utopic Unicorn ») ====== <|>    => suggestions : [' ']
48 Mot inconnu : IM [[187:189]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> im
48 Mot inconnu : Kuaipan [[197:204]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> kuaipan
48 Mot inconnu : Wiznote [[214:221]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> wiznote
57 Mot inconnu : qtractor [[49:57]] =>   * Plusieurs logiciels ont été mis à jour, dont qtractor, jackd2, blender et lmms. <|> qtractor
57 Mot inconnu : jackd2 [[59:65]] =>   * Plusieurs logiciels ont été mis à jour, dont qtractor, jackd2, blender et lmms. <|> jackd2
57 Mot inconnu : lmms [[78:82]] =>   * Plusieurs logiciels ont été mis à jour, dont qtractor, jackd2, blender et lmms. <|> lmms
64 Mot inconnu : Power [[9:14]] =>   * Xfce Power Manager 1.4 dispose de plusieurs améliorations. Le contrôle de luminosité a été étendu afin de mieux prendre en charge les claviers rétro-éclairés et les nouveaux affichages d'ordinateurs portables. <|> power
65 Mot inconnu : Display [[60:67]] =>   * Le réarrangement de l'agencement multi-écrans dans Xfce Display Settings est facilitée : il suffit simplement de déplacer l'écran dans l'espace disponible pour réagencer son espace de travail. <|> display
65 Mot inconnu : Settings [[68:76]] =>   * Le réarrangement de l'agencement multi-écrans dans Xfce Display Settings est facilitée : il suffit simplement de déplacer l'écran dans l'espace disponible pour réagencer son espace de travail. <|> settings
65 Pléonasme. [[96:113]] =>   * Le réarrangement de l'agencement multi-écrans dans Xfce Display Settings est facilitée : il suffit simplement de déplacer l'écran dans l'espace disponible pour réagencer son espace de travail. <|> suffit simplement => suggestions : ['suffit']
69 Mot inconnu : OpenStack [[25:34]] =>   * Cette version inclut OpenStack 2014.2 pour neuf projets -- attention à bien tester les mises à jour <|> openstack
70 Mot inconnu : Juju [[40:44]] =>   * L'outil d'orchestration de services Juju est mis à jour à la version 1.20.10, pour une meilleure stabilité et performance <|> juju
73 Mot inconnu : Gk20A [[167:172]] =>   * Le noyau Linux 3.16 apporte plusieurs corrections de bogues et la prise en charge de nouveau matériel, dont une gestion initiale des processeurs graphiques nVidia Gk20A et GK110B. On note des performances graphiques de plusieurs périphériques nVidia, AMD et Intel, et une prise en charge améliorée de l'encodeur vidéo .264 Radeon. Des améliorations sont notables aussi au temps de mise en hibernation et de réveil. Au plan des systèmes de fichiers, les performances sont aussi accrues notamment du côté de XFS, qui stabilise son format v5 et gère les E/S directes étendues, et de Btrfs, qui gère désormais les modes de compression par répertoire. <|> gk20a
73 Mot inconnu : GK110B [[176:182]] =>   * Le noyau Linux 3.16 apporte plusieurs corrections de bogues et la prise en charge de nouveau matériel, dont une gestion initiale des processeurs graphiques nVidia Gk20A et GK110B. On note des performances graphiques de plusieurs périphériques nVidia, AMD et Intel, et une prise en charge améliorée de l'encodeur vidéo .264 Radeon. Des améliorations sont notables aussi au temps de mise en hibernation et de réveil. Au plan des systèmes de fichiers, les performances sont aussi accrues notamment du côté de XFS, qui stabilise son format v5 et gère les E/S directes étendues, et de Btrfs, qui gère désormais les modes de compression par répertoire. <|> gk110b
73 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[321:323]] =>   * Le noyau Linux 3.16 apporte plusieurs corrections de bogues et la prise en charge de nouveau matériel, dont une gestion initiale des processeurs graphiques nVidia Gk20A et GK110B. On note des performances graphiques de plusieurs périphériques nVidia, AMD et Intel, et une prise en charge améliorée de l'encodeur vidéo .264 Radeon. Des améliorations sont notables aussi au temps de mise en hibernation et de réveil. Au plan des systèmes de fichiers, les performances sont aussi accrues notamment du côté de XFS, qui stabilise son format v5 et gère les E/S directes étendues, et de Btrfs, qui gère désormais les modes de compression par répertoire. <|>  . => suggestions : ['. ', '.']
73 Mot inconnu : XFS [[510:513]] =>   * Le noyau Linux 3.16 apporte plusieurs corrections de bogues et la prise en charge de nouveau matériel, dont une gestion initiale des processeurs graphiques nVidia Gk20A et GK110B. On note des performances graphiques de plusieurs périphériques nVidia, AMD et Intel, et une prise en charge améliorée de l'encodeur vidéo .264 Radeon. Des améliorations sont notables aussi au temps de mise en hibernation et de réveil. Au plan des systèmes de fichiers, les performances sont aussi accrues notamment du côté de XFS, qui stabilise son format v5 et gère les E/S directes étendues, et de Btrfs, qui gère désormais les modes de compression par répertoire. <|> xfs
73 Mot inconnu : v5 [[540:542]] =>   * Le noyau Linux 3.16 apporte plusieurs corrections de bogues et la prise en charge de nouveau matériel, dont une gestion initiale des processeurs graphiques nVidia Gk20A et GK110B. On note des performances graphiques de plusieurs périphériques nVidia, AMD et Intel, et une prise en charge améliorée de l'encodeur vidéo .264 Radeon. Des améliorations sont notables aussi au temps de mise en hibernation et de réveil. Au plan des systèmes de fichiers, les performances sont aussi accrues notamment du côté de XFS, qui stabilise son format v5 et gère les E/S directes étendues, et de Btrfs, qui gère désormais les modes de compression par répertoire. <|> v5
73 Mot inconnu : Btrfs [[584:589]] =>   * Le noyau Linux 3.16 apporte plusieurs corrections de bogues et la prise en charge de nouveau matériel, dont une gestion initiale des processeurs graphiques nVidia Gk20A et GK110B. On note des performances graphiques de plusieurs périphériques nVidia, AMD et Intel, et une prise en charge améliorée de l'encodeur vidéo .264 Radeon. Des améliorations sont notables aussi au temps de mise en hibernation et de réveil. Au plan des systèmes de fichiers, les performances sont aussi accrues notamment du côté de XFS, qui stabilise son format v5 et gère les E/S directes étendues, et de Btrfs, qui gère désormais les modes de compression par répertoire. <|> btrfs
74 Mot inconnu : AppArmor [[4:12]] =>   * AppArmor reçoit plusieurs corrections de bogues et s'adjoint des nouvelles mises à jour de stratégies. <|> apparmor
75 Mot inconnu : Oxide [[4:9]] =>   * Oxide, un visualisateur Web basé sur Chromium pour publier du contenu Web, est mis à jour à la dernière version de Chromium Content API. <|> oxide
75 Mot inconnu : visualisateur [[14:27]] =>   * Oxide, un visualisateur Web basé sur Chromium pour publier du contenu Web, est mis à jour à la dernière version de Chromium Content API. <|> visualisateur
76 Il manque un espace. [[27:30]] =>   * Le serveur graphique X.Org 1.16 dispose d'une meilleure prise en charge de périphériques non-PCI. Xephyr gère maintenant DRI3. La mise à jour MESA 10.3 dispose d'une prise en charge préliminaire de Nouveau avec les périphériques Maxwell.  <|> org => suggestions : [' Org']
76 Mot inconnu : non-PCI [[93:100]] =>   * Le serveur graphique X.Org 1.16 dispose d'une meilleure prise en charge de périphériques non-PCI. Xephyr gère maintenant DRI3. La mise à jour MESA 10.3 dispose d'une prise en charge préliminaire de Nouveau avec les périphériques Maxwell.  <|> non-pci
76 Mot inconnu : Xephyr [[102:108]] =>   * Le serveur graphique X.Org 1.16 dispose d'une meilleure prise en charge de périphériques non-PCI. Xephyr gère maintenant DRI3. La mise à jour MESA 10.3 dispose d'une prise en charge préliminaire de Nouveau avec les périphériques Maxwell.  <|> xephyr
76 Mot inconnu : DRI3 [[125:129]] =>   * Le serveur graphique X.Org 1.16 dispose d'une meilleure prise en charge de périphériques non-PCI. Xephyr gère maintenant DRI3. La mise à jour MESA 10.3 dispose d'une prise en charge préliminaire de Nouveau avec les périphériques Maxwell.  <|> dri3
76 Espace(s) en fin de ligne à supprimer. [[241:242]] =>   * Le serveur graphique X.Org 1.16 dispose d'une meilleure prise en charge de périphériques non-PCI. Xephyr gère maintenant DRI3. La mise à jour MESA 10.3 dispose d'une prise en charge préliminaire de Nouveau avec les périphériques Maxwell.  <|>   => suggestions : ['']
