1 Mot inconnu : gabriel21 [[7:16]] => ====== gabriel21 ====== <|> gabriel21
21 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Kubuntu 64 bits 8.10 <|> -  => suggestions : – — 

25 Si “PC” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[0:4]] => 1 PC Portable (Toshiba Qosmio) : <|> 1 pc => suggestions : 1 PC
25 Mot inconnu : Qosmio [[23:29]] => 1 PC Portable (Toshiba Qosmio) : <|> qosmio

27 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Intel Dual Core 2 à 1.8 Ghz <|> -  => suggestions : – — 
27 Mot inconnu : Core [[13:17]] => - Intel Dual Core 2 à 1.8 Ghz <|> core
27 Mot inconnu : Ghz [[26:29]] => - Intel Dual Core 2 à 1.8 Ghz <|> ghz

29 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - 2 Giga de RAM <|> -  => suggestions : – — 
29 Mot inconnu : Giga [[4:8]] => - 2 Giga de RAM <|> giga

31 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Nvidia 7600  <|> -  => suggestions : – — 
31 Espace(s) en fin de ligne à supprimer. [[13:14]] => - Nvidia 7600  <|>  

33 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Disque Dur 200 Giga <|> -  => suggestions : – — 
33 Mot inconnu : Giga [[17:21]] => - Disque Dur 200 Giga <|> giga

35 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Kubuntu 64 bits 8.04 (je préfère rester sous KDE 3.5 pour certaines fonctionnalités bugées sous la 8.10) <|> -  => suggestions : – — 
35 Mot inconnu : bugées [[86:92]] => - Kubuntu 64 bits 8.04 (je préfère rester sous KDE 3.5 pour certaines fonctionnalités bugées sous la 8.10) <|> bugées

37 Incohérence avec “je” : “ballade” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[66:73]] => Remplacé par le PC Fixe, même utilisation que le fixe quand je me ballade <|> ballade => suggestions : balade
